movie_id,realisateurs,scenaristes,acteurs
265048,['31574'],"['237755', '842628', '237756', '605692', '631015']","['83303', '438777', '410702', '767551', '558867', '743062', '588247', '741060']"
278526,['251803'],['890371'],"['536', '815041', '29376', '110493', '802716', '203296', '869215', '913125']"
281145,['898514'],['898514'],"['91872', '695907', '65575', '32394', '207508', '156118', '249928', '836871']"
1608,['2598'],"['419125', '419109']","['2598', '4419', '4418', '4420', '161074', '1741', '9586', '28594']"
230452,['511852'],['694805'],"['522960', '694801', '104446', '531053', '516029', '414474', '581468', '694802']"
211500,['543'],['595366'],"['155364', '12216', '21714', '469451', '1192', '7542', '100662', '21377']"
59027,['62311'],['62311'],"['40060', '56470', '101231', '4205', '5411', '95726', '130874', '1281']"
29068,['16497'],['29141'],"['1844', '33385', '19062', '6315', '19157', '65294', '28587', '46294']"
132242,['72279'],"['204978', '204997']","['204979', '99628', '142053', '38203', '35560', '104394', '241521', '198363']"
141302,['17666'],['17666'],"['9005', '249828', '7220', '18156']"
221172,['146717'],"['13399', '37028', '178133', '623555']","['127611', '17367', '12216', '65575', '547640', '119920', '521987', '7363']"
253072,['247019'],"['247019', '247019']","['863840', '205980', '682162', '588965', '682166', '398116']"
297366,['535181'],"['68976', '844528']","['229824', '726001', '4394', '93628', '124233', '535063', '155520']"
53755,['15738'],"['41708', '95205']","['17044', '17446', '20658', '44706', '20261', '105245', '77264', '8755']"
233127,['21630'],"['21630', '21630', '421994', '421994']","['27974', '27970', '427585', '756295', '98028', '69356', '660470', '658825']"
5517,['3434'],"['3434', '93570']","['3435', '2026', '8124', '19172', '35972', '13231', '49815', '19706']"
59012,['14450'],"['103866', '101091']","['25907', '41609', '85516', '89322', '51703', '12184', '76763', '55757']"
299350,['174803'],['663596'],"['199717', '421029', '544791', '535209', '161099', '560250', '916039', '538931']"
310327,['524050'],['524050'],"['416202', '961441', '852981', '965093']"
4323,['974'],['974'],"['975', '976', '2825', '397', '38566', '426772', '10323', '10324']"
124705,['51706'],['51706'],"['17080', '3184', '114363', '170179', '82028', '215265', '160660', '215267']"
227259,['82318'],['82318'],"['19356', '83126', '19056', '81493', '489485', '4206', '140385', '236452']"
52502,['117'],"['66833', '17387', '43141', '56776', '198098']","['15760', '6146', '113027', '115175', '115734', '116762', '117344', '118223']"
5366,['20639'],"['20639', '36124']","['13813', '22171', '12471', '29705', '31071', '202620', '56971', '196832']"
271550,['50930'],"['50930', '864948', '937662']","['225384', '223930', '750612', '81530', '16411', '875089', '454198', '596930']"
297626,['146793'],['917721'],"['138681', '116515', '421544', '40292', '947689', '101757', '256354', '22220']"
236464,['66310'],"['536849', '269315', '758856']","['17914', '36404', '596785', '256444', '407172', '84452', '455186', '551040']"
233871,['149940'],"['715061', '715061', '715061']","['462947', '586280', '715051', '103366', '22366', '29200', '122993', '666539']"
299213,['780064'],,"['951551', '465975', '951553', '23711']"
279324,['504458'],"['504458', '507638']","['169084', '426158', '926990', '838418', '498756', '772702', '142083', '855713']"
285322,['84098'],"['84098', '910550']","['105046', '240072', '705309', '428463', '754248', '481286', '910550', '142164']"
179224,['100015'],"['100015', '100015', '100015', '187798']","['3126', '29028', '485902', '35039', '50925', '18982', '22015', '18183']"
251474,['46911'],"['792921', '792920']","['1825', '70288', '96287', '70615', '176840', '120476', '770729', '653222']"
61764,"['82308', '68124']","['136281', '76581']","['15760', '27049', '11791', '22901', '156047', '3157', '179176', '23663']"
